stress_id,stress_type,reagent,strength,unit,pH,temperature_C,duration_hr,light_lux_hr,uv_Wh_m2,humidity_RH,source,freq_weight,notes
TH05,thermal,wet_heat,,NA,,60.0,24.0,,,,ICH_BASE,0.03,wet heat 60C
TH06,thermal,wet_heat,,NA,,80.0,6.0,,,,ICH_BASE,0.02,wet heat 80C short
TH07,thermal,autoclave,,NA,,121.0,0.25,,,,ICH_BASE,0.01,autoclave 15 min
TH08,thermal,freeze_thaw,,NA,,-20.0,24.0,,,,ICH_BASE,0.01,freeze stress
TH09,thermal,dry_heat,,NA,,70.0,48.0,,,,ICH_BASE,0.02,dry heat 70C mid
TH10,thermal,dry_heat,,NA,,90.0,12.0,,,,ICH_BASE,0.02,dry heat 90C short
HU01,humidity,RH,,NA,,25.0,168.0,,,60.0,ICH_BASE,0.02,60%RH 1 week
HU02,humidity,RH,,NA,,40.0,168.0,,,75.0,ICH_BASE,0.08,75%RH 40C 1 week common
HU03,humidity,RH,,NA,,30.0,336.0,,,75.0,ICH_BASE,0.04,75%RH 2 weeks
HU04,humidity,RH,,NA,,25.0,336.0,,,75.0,ICH_BASE,0.02,75%RH 2 weeks RT
HU05,humidity,RH,,NA,,40.0,72.0,,,75.0,ICH_BASE,0.03,75%RH 40C 3 days
HU06,humidity,RH,,NA,,50.0,72.0,,,75.0,ICH_BASE,0.01,75%RH 50C 3 days
PH01,photolysis,visible_light,,NA,,,,1200000.0,,,ICH_BASE,0.12,ICH Q1B visible exposure
PH02,photolysis,uv_light,,NA,,,,,200.0,,ICH_BASE,0.08,ICH Q1B UV exposure
