stress_type,reagent,strength,unit,temperature_C,duration_hr,light_lux_hr,uv_Wh_m2,humidity_RH,citation_id,paper_title
thermal,dry_heat,,NA,110.0,3.0,,,,Paper-12,Paper-12
base_hydrolysis,NaOH,1.0,N,,,,,,Paper-13,Paper-13
humidity,RH,,NA,,,,,30.0,Paper-13,Paper-13
thermal,dry_heat,,NA,60.0,168.0,,,,Paper-13,Paper-13
thermal,dry_heat,,NA,60.0,168.0,,,,Paper-13,Paper-13
thermal,dry_heat,,NA,60.0,168.0,,,,Paper-13,Paper-13
humidity,RH,,NA,,,,,75.0,Paper-13,Paper-13
humidity,RH,,NA,,,,,30.0,Paper-13,Paper-13
thermal,dry_heat,,NA,50.0,,,,,Paper-2,Paper-2
base_hydrolysis,NaOH,0.1,N,60.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,168.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,80.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,70.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,,,,,Paper-2,Paper-2
acid_hydrolysis,HCl,0.1,M,40.0,,,,,Paper-2,Paper-2
base_hydrolysis,NaOH,0.1,M,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,25.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,5.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,80.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,50.0,,,,,Paper-2,Paper-2
base_hydrolysis,NaOH,0.1,N,60.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,168.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,80.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,70.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,,,,,Paper-2,Paper-2
acid_hydrolysis,HCl,0.1,M,40.0,,,,,Paper-2,Paper-2
base_hydrolysis,NaOH,0.1,M,40.0,,,,,Paper-2,Paper-2
oxidation,H2O2,3.0,%,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,0.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,40.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,25.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,5.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
thermal,dry_heat,,NA,60.0,5.0,,,,Paper-2,Paper-2
humidity,RH,,NA,,,,,75.0,Paper-3,Paper-3
acid_hydrolysis,HCl,0.1,M,,5.0,,,,Paper-3,Paper-3
base_hydrolysis,NaOH,0.1,M,,5.0,,,,Paper-3,Paper-3
oxidation,H2O2,3.0,%,,5.0,,,,Paper-3,Paper-3
humidity,RH,,NA,,5.0,,,75.0,Paper-3,Paper-3
humidity,RH,,NA,,5.0,,,75.0,Paper-3,Paper-3
acid_hydrolysis,HCl,0.1,M,,,,,,Paper-3,Paper-3
base_hydrolysis,NaOH,0.1,M,,,,,,Paper-3,Paper-3
oxidation,H2O2,3.0,%,,,,,,Paper-3,Paper-3
humidity,RH,,NA,,,,,75.0,Paper-3,Paper-3
humidity,RH,,NA,,,,,75.0,Paper-3,Paper-3
acid_hydrolysis,HCl,0.1,M,,5.0,,,,Paper-3,Paper-3
base_hydrolysis,NaOH,0.1,M,,5.0,,,,Paper-3,Paper-3
oxidation,H2O2,3.0,%,,5.0,,,,Paper-3,Paper-3
humidity,RH,,NA,,5.0,,,75.0,Paper-3,Paper-3
humidity,RH,,NA,,5.0,,,75.0,Paper-3,Paper-3
acid_hydrolysis,HCl,1.0,M,,168.0,,,,Paper-4,Paper-4
base_hydrolysis,NaOH,1.0,M,,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,120.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,24.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,24.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,24.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,2.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,0.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,2.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,100.0,21.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,0.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,27.9,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,,,,,Paper-4,Paper-4
acid_hydrolysis,HCl,1.0,M,,168.0,,,,Paper-4,Paper-4
base_hydrolysis,NaOH,1.0,M,,168.0,,,,Paper-4,Paper-4
oxidation,H2O2,3.0,%,,11.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,120.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,70.0,168.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,24.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,24.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,50.0,24.0,,,,Paper-4,Paper-4
thermal,dry_heat,,NA,25.0,,,,,Paper-4,Paper-4
acid_hydrolysis,HCl,1.0,N,,0.5,,,,Paper-5,Paper-5
acid_hydrolysis,HCl,1.0,N,,,,,,Paper-5,Paper-5
base_hydrolysis,NaOH,1.0,N,,,,,,Paper-5,Paper-5
base_hydrolysis,NaOH,1.0,N,,0.25,,,,Paper-5,Paper-5
thermal,dry_heat,,NA,50.0,,,,,Paper-6,Paper-6
thermal,dry_heat,,NA,50.0,,,,,Paper-6,Paper-6
thermal,dry_heat,,NA,30.0,1.3333333333333333,,,,Paper-7,Paper-7
acid_hydrolysis,HCl,1.0,N,,0.25,,,,Paper-7,Paper-7
base_hydrolysis,NaOH,1.0,N,,0.25,,,,Paper-7,Paper-7
acid_hydrolysis,HCl,1.0,N,60.0,0.25,,,,Paper-7,Paper-7
base_hydrolysis,NaOH,1.0,N,60.0,0.16666666666666666,,,,Paper-7,Paper-7
oxidation,H2O2,30.0,%,60.0,0.25,,,,Paper-7,Paper-7
humidity,RH,,NA,25.0,,,,92.0,Paper-7,Paper-7
photolysis,light,,NA,25.0,240.0,1200000.0,,,Paper-7,Paper-7
thermal,dry_heat,,NA,60.0,0.25,,,,Paper-7,Paper-7
thermal,dry_heat,,NA,60.0,0.25,,,,Paper-7,Paper-7
thermal,dry_heat,,NA,85.0,6.0,,,,Paper-7,Paper-7
thermal,dry_heat,,NA,25.0,240.0,1200000.0,,,Paper-7,Paper-7
thermal,dry_heat,,NA,25.0,,,,92.0,Paper-7,Paper-7
thermal,dry_heat,,NA,30.0,1.3333333333333333,,,,Paper-7,Paper-7
acid_hydrolysis,HCl,0.1,N,,,,,,Paper-8,Paper-8
base_hydrolysis,NaOH,1.0,N,,1.0,,,,Paper-8,Paper-8
acid_hydrolysis,HCl,0.1,N,,,,,,Paper-8,Paper-8
base_hydrolysis,NaOH,1.0,N,,1.0,,,,Paper-8,Paper-8
thermal,dry_heat,,NA,8.0,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,25.0,0.5,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,60.0,24.0,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,8.0,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,26.0,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,25.0,0.06666666666666667,,,,Paper-9,Paper-9
oxidation,H2O2,10.0,%,,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,25.0,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,8.0,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,25.0,0.5,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,60.0,24.0,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,8.0,,,,,Paper-9,Paper-9
thermal,dry_heat,,NA,26.0,,,,,Paper-9,Paper-9
