stress_id,stress_type,reagent,strength,unit,pH,temperature_C,duration_hr,light_lux_hr,uv_Wh_m2,humidity_RH,source,freq_weight,notes
LIT_0034,humidity,RH,,,,,,,,45.0,LITERATURE,,Paper-10
LIT_0040,acid_hydrolysis,HCl,0.1,M,,,168.0,,,,LITERATURE,,Paper-11
LIT_0041,acid_hydrolysis,HCl,0.1,N,,,48.0,,,,LITERATURE,,Paper-11
LIT_0042,acid_hydrolysis,HCl,0.1,M,,,,,,,LITERATURE,,Paper-11
LIT_0043,acid_hydrolysis,HCl,0.1,N,,,,,,,LITERATURE,,Paper-11
LIT_0044,acid_hydrolysis,HCl,1.0,N,,110.0,3.0,,,,LITERATURE,0.08888888888888889,Paper-12
LIT_0045,base_hydrolysis,NaOH,1.0,N,,110.0,3.0,,,,LITERATURE,0.08888888888888889,Paper-12
LIT_0046,thermal,dry_heat,,,,110.0,3.0,,,,LITERATURE,,Paper-12
LIT_0048,thermal,dry_heat,,,,2.0,48.0,,,,LITERATURE,,Paper-12
LIT_0049,acid_hydrolysis,HCl,1.0,N,,60.0,,,,,LITERATURE,,Paper-12
LIT_0050,acid_hydrolysis,HCl,1.0,N,,60.0,1.0,,,,LITERATURE,0.044444444444444446,Paper-12
LIT_0051,base_hydrolysis,NaOH,1.0,N,,60.0,,,,,LITERATURE,,Paper-12
LIT_0053,oxidation,H2O2,3.0,%,,60.0,1.0,,,,LITERATURE,0.044444444444444446,Paper-12
LIT_0054,thermal,dry_heat,,,,60.0,,,,,LITERATURE,,Paper-12
LIT_0055,thermal,dry_heat,,,,60.0,1.0,,,,LITERATURE,,Paper-12
LIT_0062,base_hydrolysis,NaOH,1.0,N,,,,,,,LITERATURE,,Paper-13
LIT_0064,thermal,dry_heat,,,,60.0,168.0,,,,LITERATURE,,Paper-13
LIT_0069,thermal,dry_heat,,,,50.0,,,,,LITERATURE,,Paper-2
LIT_0070,base_hydrolysis,NaOH,0.1,N,,60.0,,,,,LITERATURE,,Paper-2
LIT_0071,thermal,dry_heat,,,,40.0,168.0,,,,LITERATURE,,Paper-2
LIT_0073,thermal,dry_heat,,,,70.0,,,,,LITERATURE,,Paper-2
LIT_0075,acid_hydrolysis,HCl,0.1,M,,40.0,,,,,LITERATURE,,Paper-2
LIT_0076,base_hydrolysis,NaOH,0.1,M,,40.0,,,,,LITERATURE,,Paper-2
LIT_0089,thermal,dry_heat,,,,40.0,5.0,,,,LITERATURE,,Paper-2
LIT_0094,thermal,dry_heat,,,,60.0,5.0,,,,LITERATURE,,Paper-2
LIT_0098,thermal,dry_heat,,,,25.0,5.0,,,,LITERATURE,,Paper-2
LIT_0099,thermal,dry_heat,,,,5.0,5.0,,,,LITERATURE,,Paper-2
LIT_0113,oxidation,H2O2,3.0,%,,40.0,,,,,LITERATURE,,Paper-2
LIT_0131,thermal,dry_heat,,,,0.0,5.0,,,,LITERATURE,,Paper-2
LIT_0141,acid_hydrolysis,HCl,0.1,M,,,5.0,,,,LITERATURE,,Paper-3
LIT_0142,base_hydrolysis,NaOH,0.1,M,,,5.0,,,,LITERATURE,,Paper-3
LIT_0143,oxidation,H2O2,3.0,%,,,5.0,,,,LITERATURE,,Paper-3
LIT_0144,humidity,RH,,,,,5.0,,,75.0,LITERATURE,,Paper-3
LIT_0147,base_hydrolysis,NaOH,0.1,M,,,,,,,LITERATURE,,Paper-3
LIT_0148,oxidation,H2O2,3.0,%,,,,,,,LITERATURE,,Paper-3
LIT_0156,acid_hydrolysis,HCl,1.0,M,,,168.0,,,,LITERATURE,,Paper-4
LIT_0157,base_hydrolysis,NaOH,1.0,M,,,168.0,,,,LITERATURE,,Paper-4
LIT_0158,thermal,dry_heat,,,,70.0,168.0,,,,LITERATURE,,Paper-4
LIT_0160,thermal,dry_heat,,,,50.0,120.0,,,,LITERATURE,,Paper-4
LIT_0164,thermal,dry_heat,,,,50.0,24.0,,,,LITERATURE,,Paper-4
LIT_0166,thermal,dry_heat,,,,25.0,24.0,,,,LITERATURE,,Paper-4
LIT_0168,thermal,dry_heat,,,,25.0,2.0,,,,LITERATURE,,Paper-4
LIT_0170,thermal,dry_heat,,,,50.0,0.0,,,,LITERATURE,,Paper-4
LIT_0174,thermal,dry_heat,,,,100.0,21.0,,,,LITERATURE,,Paper-4
LIT_0177,thermal,dry_heat,,,,70.0,27.9,,,,LITERATURE,,Paper-4
LIT_0181,oxidation,H2O2,3.0,%,,,11.0,,,,LITERATURE,,Paper-4
LIT_0192,acid_hydrolysis,HCl,1.0,N,,,0.5,,,,LITERATURE,,Paper-5
LIT_0193,acid_hydrolysis,HCl,1.0,N,,,,,,,LITERATURE,,Paper-5
LIT_0195,base_hydrolysis,NaOH,1.0,N,,,0.25,,,,LITERATURE,,Paper-5
LIT_0198,thermal,dry_heat,,,,30.0,1.3333333333333333,,,,LITERATURE,,Paper-7
LIT_0199,acid_hydrolysis,HCl,1.0,N,,,0.25,,,,LITERATURE,,Paper-7
LIT_0201,acid_hydrolysis,HCl,1.0,N,,60.0,0.25,,,,LITERATURE,0.044444444444444446,Paper-7
LIT_0202,base_hydrolysis,NaOH,1.0,N,,60.0,0.1666666666666666,,,,LITERATURE,0.044444444444444446,Paper-7
LIT_0203,oxidation,H2O2,30.0,%,,60.0,0.25,,,,LITERATURE,0.044444444444444446,Paper-7
LIT_0205,photolysis,light,,,,25.0,240.0,1200000.0,,,LITERATURE,,Paper-7
LIT_0206,thermal,dry_heat,,,,60.0,0.25,,,,LITERATURE,,Paper-7
LIT_0208,thermal,dry_heat,,,,85.0,6.0,,,,LITERATURE,,Paper-7
LIT_0209,thermal,dry_heat,,,,25.0,240.0,1200000.0,,,LITERATURE,,Paper-7
LIT_0213,base_hydrolysis,NaOH,1.0,N,,,1.0,,,,LITERATURE,,Paper-8
LIT_0217,thermal,dry_heat,,,,25.0,0.5,,,,LITERATURE,,Paper-9
LIT_0218,thermal,dry_heat,,,,60.0,24.0,,,,LITERATURE,,Paper-9
LIT_0221,thermal,dry_heat,,,,25.0,0.0666666666666666,,,,LITERATURE,,Paper-9
LIT_0222,oxidation,H2O2,10.0,%,,,,,,,LITERATURE,,Paper-9
