reagent,severity,temp_bin,duration_bin,strength_bin,freq_weight_mean,predicted_api_loss_percent,predicted_degradant_percent,temperature_mean,duration_mean,strength_mean,pH_mean
NaOH,unknown,high,short,high,0.0444444444444444,19.0,9.0,60.0,0.1666666666666666,1.0,
NaOH,unknown,mid,na,medium,,10.0,5.0,40.0,,0.1,
NaOH,unknown,na,long,high,,29.0,14.0,,120.0,1.5,
NaOH,unknown,na,long,low,,15.0,7.0,,72.0,0.01,
NaOH,unknown,na,long,medium,,14.0,7.0,,70.0,0.5,
NaOH,unknown,na,medium,high,,22.0,11.0,,8.0,2.0,
NaOH,unknown,na,medium,medium,,11.0,5.0,,6.5,0.1,
NaOH,unknown,na,na,high,,17.0,8.0,,,1.0,
NaOH,unknown,na,na,medium,,9.0,4.0,,,0.1,
NaOH,unknown,na,short,high,,18.0,9.0,,0.625,1.0,
RH,standard,low,na,na,,1.0,0.5,17.5,,,
RH,standard,mid,long,na,0.0104347826086956,2.0,1.0,40.0,204.0,,
RH,standard,na,medium,na,,1.0,0.5,,5.0,,
RH,standard,na,na,na,,1.0,0.5,,,,
H2O2,mild,low,medium,medium,0.0091304347826086,3.0,1.5,25.0,4.5,0.4,
H2O2,moderate,high,short,high,0.024830917874396,12.0,6.0,60.0,0.75,3.0,
H2O2,moderate,low,medium,high,0.0130434782608695,8.0,4.0,25.0,3.0,1.0,
H2O2,moderate,low,short,high,0.0182608695652173,9.0,4.5,25.0,0.75,3.0,
H2O2,moderate,mid,medium,high,0.0091304347826086,10.0,5.0,40.0,4.0,2.0,
H2O2,moderate,mid,na,high,,12.0,6.0,40.0,,3.0,
H2O2,moderate,na,medium,high,,11.0,5.0,,8.0,3.0,
H2O2,moderate,na,na,high,,13.0,6.0,,,3.0,
H2O2,strong,high,short,high,0.024830917874396,20.0,10.0,60.0,0.375,20.0,
H2O2,strong,mid,medium,high,0.0078260869565217,15.0,7.0,40.0,2.0,10.0,
H2O2,strong,na,na,high,,17.0,8.0,,,10.0,
light,standard,low,long,na,,2.0,1.0,25.0,240.0,,
light,standard,na,long,na,,3.0,1.5,,204.0,,
light,standard,na,medium,na,,2.0,1.0,,2.0,,
light,standard,na,na,na,,1.0,0.5,,,,
uv_light,standard,na,na,na,0.0208695652173913,4.0,2.0,,,,
visible_light,standard,na,na,na,0.0313043478260869,3.0,1.5,,,,
dry_heat,mild,low,long,na,,1.0,0.5,13.5,144.0,,
dry_heat,mild,low,medium,na,,1.0,0.5,12.5,13.0,,
dry_heat,mild,low,na,na,,1.0,0.5,17.5,,,
dry_heat,mild,low,short,na,,1.0,0.5,25.0,0.2833333333333333,,
dry_heat,mild,mid,long,na,,2.0,1.0,40.0,168.0,,
dry_heat,mild,mid,medium,na,,1.0,0.5,35.0,3.1666666666666665,,
dry_heat,mild,mid,na,na,,1.0,0.5,40.0,,,
dry_heat,moderate,high,long,na,0.0078260869565217,6.0,3.0,65.0,97.95,,
dry_heat,moderate,high,medium,na,,5.0,2.5,60.0,14.5,,
dry_heat,moderate,high,na,na,,4.0,2.0,65.0,,,
dry_heat,moderate,high,short,na,,3.0,1.5,60.0,0.625,,
dry_heat,moderate,mid,long,na,,4.0,2.0,50.0,120.0,,
dry_heat,moderate,mid,medium,na,,3.0,1.5,50.0,24.0,,
dry_heat,moderate,mid,na,na,,2.0,1.0,50.0,,,
dry_heat,moderate,mid,short,na,,2.0,1.0,50.0,0.0,,
dry_heat,strong,high,long,na,0.0104347826086956,8.0,4.0,80.0,72.0,,
dry_heat,strong,high,medium,na,0.0121739130434782,10.0,5.0,95.0,13.5,,
dry_heat,strong,high,na,na,,7.0,3.0,80.0,,,
wet_heat,moderate,high,medium,na,0.0078260869565217,7.0,3.0,60.0,24.0,,
HCl,mild,low,medium,high,0.0078260869565217,3.0,1.0,25.0,2.0,1.0,0.5
HCl,mild,low,medium,low,0.0078260869565217,1.0,0.5,25.0,6.0,0.01,2.0
HCl,mild,low,medium,medium,0.0078260869565217,2.0,1.0,25.0,13.0,0.3,1.0
HCl,moderate,high,medium,medium,0.0169565217391303,5.0,2.0,60.0,4.0,0.1,1.2
HCl,moderate,high,short,low,0.0104347826086956,3.0,1.0,60.0,1.0,0.01,2.0
HCl,moderate,mid,medium,low,0.0117391304347825,4.0,1.0,40.0,4.5,0.030000000000000002,1.75
HCl,moderate,mid,medium,medium,0.0156521739130434,6.0,2.0,40.0,6.0,0.1,1.2
HCl,moderate,mid,short,high,0.0104347826086956,8.0,3.0,40.0,1.0,1.0,0.5
HCl,strong,high,short,high,0.0104347826086956,10.0,4.0,60.0,0.5,1.0,0.5
HCl,unknown,high,medium,high,0.0888888888888888,15.0,6.0,110.0,3.0,1.0,
HCl,unknown,high,na,high,,12.0,5.0,60.0,,1.0,
HCl,unknown,high,na,medium,,10.0,4.0,80.0,,0.5,
HCl,unknown,high,short,high,0.0444444444444444,13.0,5.0,60.0,0.625,1.0,
HCl,unknown,mid,na,medium,,8.0,3.0,40.0,,0.1,
HCl,unknown,na,long,high,,17.0,7.0,,203.0,1.5,
HCl,unknown,na,long,medium,,13.0,5.0,,108.0,0.1,
HCl,unknown,na,medium,high,,7.0,3.0,,8.0,2.0,
HCl,unknown,na,medium,medium,,3.0,1.0,,6.5,0.1,
HCl,unknown,na,na,high,,5.0,2.0,,,1.0,
HCl,unknown,na,na,medium,,2.0,0.5,,,0.1,
HCl,unknown,na,short,high,,3.0,1.0,,0.625,1.0,
NaOH,mild,low,medium,high,0.0078260869565217,5.0,2.0,25.0,2.0,1.0,14.0
NaOH,mild,low,medium,low,0.0078260869565217,2.0,0.5,25.0,6.0,0.01,12.0
NaOH,mild,low,medium,medium,0.0078260869565217,3.0,1.0,25.0,13.0,0.3,13.25
NaOH,moderate,high,short,low,0.0104347826086956,6.0,2.0,60.0,1.0,0.01,12.0
NaOH,moderate,mid,medium,low,0.0117391304347825,7.0,3.0,40.0,4.5,0.030000000000000002,12.25
NaOH,moderate,mid,medium,medium,0.0156521739130434,8.0,3.0,40.0,6.0,0.1,13.0
NaOH,moderate,mid,short,high,0.0104347826086956,10.0,4.0,40.0,1.0,1.0,14.0
NaOH,strong,high,medium,medium,0.0130434782608695,10.0,4.0,60.0,2.0,0.1,13.0
NaOH,strong,high,short,high,0.0104347826086956,12.0,5.0,60.0,0.5,1.0,14.0
NaOH,strong,high,short,medium,0.0208695652173913,11.0,4.0,60.0,1.0,0.1,13.0
NaOH,unknown,high,medium,high,0.0888888888888888,20.0,8.0,110.0,3.0,1.0,
NaOH,unknown,high,na,high,,10.0,4.0,60.0,,1.0,
NaOH,unknown,high,na,medium,,12.0,5.0,70.0,,0.3,
NaOH,unknown,high,short,high,0.0444444444444444,11.0,4.0,60.0,0.1666666666666666,1.0,
NaOH,unknown,mid,na,medium,,7.0,3.0,40.0,,0.1,
NaOH,unknown,na,long,high,,12.0,5.0,,120.0,1.5,
NaOH,unknown,na,long,low,,6.0,2.0,,72.0,0.01,
NaOH,unknown,na,long,medium,,8.0,3.0,,70.0,0.5,
NaOH,unknown,na,medium,high,,7.0,3.0,,8.0,2.0,
NaOH,unknown,na,medium,medium,,3.0,1.0,,6.5,0.1,
NaOH,unknown,na,na,high,,5.0,2.0,,,1.0,
NaOH,unknown,na,na,medium,,2.0,0.5,,,0.1,
NaOH,unknown,na,short,high,,3.0,1.0,,0.625,1.0,
RH,standard,low,na,na,,1.0,0.5,17.5,,,
RH,standard,mid,long,na,0.0104347826086956,2.0,0.5,40.0,204.0,,
RH,standard,na,medium,na,,1.0,0.5,,5.0,,
RH,standard,na,na,na,,1.0,0.5,,,,
H2O2,mild,low,medium,medium,0.0091304347826086,3.0,1.0,25.0,4.5,0.4,
H2O2,moderate,high,short,high,0.024830917874396,7.0,3.0,60.0,0.75,3.0,
H2O2,moderate,low,medium,high,0.0130434782608695,5.0,2.0,25.0,3.0,1.0,
H2O2,moderate,low,short,high,0.0182608695652173,6.0,2.0,25.0,0.75,3.0,
H2O2,moderate,mid,medium,high,0.0091304347826086,6.0,2.0,40.0,4.0,2.0,
H2O2,moderate,mid,na,high,,7.0,3.0,40.0,,3.0,
H2O2,moderate,na,medium,high,,7.0,3.0,,8.0,3.0,
H2O2,moderate,na,na,high,,7.0,3.0,,,3.0,
H2O2,strong,high,short,high,0.024830917874396,10.0,4.0,60.0,0.375,20.0,
H2O2,strong,mid,medium,high,0.0078260869565217,9.0,3.0,40.0,2.0,10.0,
H2O2,strong,na,na,high,,8.0,3.0,,,10.0,
light,standard,low,long,na,,1.0,0.5,25.0,240.0,,
light,standard,na,long,na,,2.0,0.5,,204.0,,
light,standard,na,medium,na,,1.0,0.5,,2.0,,
light,standard,na,na,na,,1.0,0.5,,,,
uv_light,standard,na,na,na,0.0208695652173913,1.0,0.5,,,,
visible_light,standard,na,na,na,0.0313043478260869,1.0,0.5,,,,
dry_heat,mild,low,long,na,,1.0,0.5,13.5,144.0,,
dry_heat,mild,low,medium,na,,1.0,0.5,12.5,13.0,,
dry_heat,mild,low,na,na,,1.0,0.5,17.5,,,
dry_heat,mild,low,short,na,,1.0,0.5,25.0,0.2833333333333333,,
dry_heat,mild,mid,long,na,,2.0,0.5,40.0,168.0,,
dry_heat,mild,mid,medium,na,,1.0,0.5,35.0,3.1666666666666665,,
dry_heat,mild,mid,na,na,,1.0,0.5,40.0,,,
dry_heat,moderate,high,long,na,0.0078260869565217,6.0,2.0,65.0,97.95,,
dry_heat,moderate,high,medium,na,,5.0,2.0,60.0,14.5,,
dry_heat,moderate,high,na,na,,5.0,2.0,65.0,,,
dry_heat,moderate,high,short,na,,4.0,1.0,60.0,0.625,,
dry_heat,moderate,mid,long,na,,4.0,1.0,50.0,120.0,,
dry_heat,moderate,mid,medium,na,,3.0,1.0,50.0,24.0,,
dry_heat,moderate,mid,na,na,,3.0,1.0,50.0,,,
dry_heat,moderate,mid,short,na,,1.0,0.5,50.0,0.0,,
dry_heat,strong,high,long,na,0.0104347826086956,8.0,3.0,80.0,72.0,,
dry_heat,strong,high,medium,na,0.0121739130434782,10.0,4.0,95.0,13.5,,
dry_heat,strong,high,na,na,,7.0,3.0,80.0,,,
wet_heat,moderate,high,medium,na,0.0078260869565217,7.0,3.0,60.0,24.0,,
HCl,mild,low,medium,high,0.0078260869565217,3.0,1.0,25.0,2.0,1.0,0.5
HCl,mild,low,medium,low,0.0078260869565217,1.0,0.5,25.0,6.0,0.01,2.0
HCl,mild,low,medium,medium,0.0078260869565217,2.0,0.5,25.0,13.0,0.3,1.0
HCl,moderate,high,medium,medium,0.0169565217391303,5.0,2.0,60.0,4.0,0.1,1.2
HCl,moderate,high,short,low,0.0104347826086956,3.0,1.0,60.0,1.0,0.01,2.0
HCl,moderate,mid,medium,low,0.0117391304347825,3.0,1.0,40.0,4.5,0.030000000000000002,1.75
HCl,moderate,mid,medium,medium,0.0156521739130434,5.0,2.0,40.0,6.0,0.1,1.2
HCl,moderate,mid,short,high,0.0104347826086956,6.0,2.0,40.0,1.0,1.0,0.5
HCl,strong,high,short,high,0.0104347826086956,7.0,3.0,60.0,0.5,1.0,0.5
HCl,unknown,high,medium,high,0.0888888888888888,15.0,6.0,110.0,3.0,1.0,
HCl,unknown,high,na,high,,7.0,3.0,60.0,,1.0,
HCl,unknown,high,na,medium,,8.0,3.0,80.0,,0.5,
HCl,unknown,high,short,high,0.0444444444444444,8.0,3.0,60.0,0.625,1.0,
HCl,unknown,mid,na,medium,,5.0,2.0,40.0,,0.1,
HCl,unknown,na,long,high,,10.0,4.0,,203.0,1.5,
HCl,unknown,na,long,medium,,6.0,2.0,,108.0,0.1,
HCl,unknown,na,medium,high,,7.0,3.0,,8.0,2.0,
HCl,unknown,na,medium,medium,,3.0,1.0,,6.5,0.1,
HCl,unknown,na,na,high,,6.0,2.0,,,1.0,
HCl,unknown,na,na,medium,,2.0,0.5,,,0.1,
HCl,unknown,na,short,high,,3.0,1.0,,0.625,1.0,
NaOH,mild,low,medium,high,0.0078260869565217,5.0,2.0,25.0,2.0,1.0,14.0
NaOH,mild,low,medium,low,0.0078260869565217,2.0,0.5,25.0,6.0,0.01,12.0
NaOH,mild,low,medium,medium,0.0078260869565217,3.0,1.0,25.0,13.0,0.3,13.25
NaOH,moderate,high,short,low,0.0104347826086956,6.0,2.0,60.0,1.0,0.01,12.0
NaOH,moderate,mid,medium,low,0.0117391304347825,7.0,3.0,40.0,4.5,0.030000000000000002,12.25
NaOH,moderate,mid,medium,medium,0.0156521739130434,8.0,3.0,40.0,6.0,0.1,13.0
NaOH,moderate,mid,short,high,0.0104347826086956,10.0,4.0,40.0,1.0,1.0,14.0
NaOH,strong,high,medium,medium,0.0130434782608695,10.0,4.0,60.0,2.0,0.1,13.0
NaOH,strong,high,short,high,0.0104347826086956,12.0,5.0,60.0,0.5,1.0,14.0
NaOH,strong,high,short,medium,0.0208695652173913,11.0,4.0,60.0,1.0,0.1,13.0
NaOH,unknown,high,medium,high,0.0888888888888888,20.0,8.0,110.0,3.0,1.0,
NaOH,unknown,high,na,high,,4.0,2.0,60.0,,1.0,
NaOH,unknown,high,na,medium,,3.0,1.5,70.0,,0.3,
NaOH,unknown,high,short,high,0.0444444444444444,5.0,2.5,60.0,0.1666666666666666,1.0,
NaOH,unknown,mid,na,medium,,2.0,1.0,40.0,,0.1,
NaOH,unknown,na,long,high,,6.0,3.0,,120.0,1.5,
NaOH,unknown,na,long,low,,2.0,1.0,,72.0,0.01,
NaOH,unknown,na,long,medium,,4.0,2.0,,70.0,0.5,
NaOH,unknown,na,medium,high,,7.0,3.5,,8.0,2.0,
NaOH,unknown,na,medium,medium,,3.0,1.5,,6.5,0.1,
NaOH,unknown,na,na,high,,5.0,2.5,,,1.0,
NaOH,unknown,na,na,medium,,2.0,1.0,,,0.1,
NaOH,unknown,na,short,high,,4.0,2.0,,0.625,1.0,
RH,standard,low,na,na,,1.0,0.5,17.5,,,
RH,standard,mid,long,na,0.0104347826086956,2.0,1.0,40.0,204.0,,
RH,standard,na,medium,na,,1.0,0.5,,5.0,,
RH,standard,na,na,na,,1.0,0.5,,,,
H2O2,mild,low,medium,medium,0.0091304347826086,3.0,1.5,25.0,4.5,0.4,
H2O2,moderate,high,short,high,0.024830917874396,8.0,4.0,60.0,0.75,3.0,
H2O2,moderate,low,medium,high,0.0130434782608695,5.0,2.5,25.0,3.0,1.0,
H2O2,moderate,low,short,high,0.0182608695652173,7.0,3.5,25.0,0.75,3.0,
H2O2,moderate,mid,medium,high,0.0091304347826086,6.0,3.0,40.0,4.0,2.0,
H2O2,moderate,mid,na,high,,5.0,2.5,40.0,,3.0,
H2O2,moderate,na,medium,high,,7.0,3.5,,8.0,3.0,
H2O2,moderate,na,na,high,,6.0,3.0,,,3.0,
H2O2,strong,high,short,high,0.024830917874396,16.0,8.0,60.0,0.375,20.0,
H2O2,strong,mid,medium,high,0.0078260869565217,14.0,7.0,40.0,2.0,10.0,
H2O2,strong,na,na,high,,12.0,6.0,,,10.0,
light,standard,low,long,na,,2.0,1.0,25.0,240.0,,
light,standard,na,long,na,,3.0,1.5,,204.0,,
light,standard,na,medium,na,,2.0,1.0,,2.0,,
light,standard,na,na,na,,1.0,0.5,,,,
uv_light,standard,na,na,na,0.0208695652173913,2.0,1.0,,,,
visible_light,standard,na,na,na,0.0313043478260869,1.0,0.5,,,,
dry_heat,mild,low,long,na,,1.0,0.5,13.5,144.0,,
dry_heat,mild,low,medium,na,,1.0,0.5,12.5,13.0,,
dry_heat,mild,low,na,na,,1.0,0.5,17.5,,,
dry_heat,mild,low,short,na,,1.0,0.5,25.0,0.2833333333333333,,
dry_heat,mild,mid,long,na,,2.0,1.0,40.0,168.0,,
dry_heat,mild,mid,medium,na,,1.0,0.5,35.0,3.1666666666666665,,
dry_heat,mild,mid,na,na,,1.0,0.5,40.0,,,
dry_heat,moderate,high,long,na,0.0078260869565217,6.0,3.0,65.0,97.95,,
dry_heat,moderate,high,medium,na,,5.0,2.5,60.0,14.5,,
dry_heat,moderate,high,na,na,,4.0,2.0,65.0,,,
dry_heat,moderate,high,short,na,,4.0,2.0,60.0,0.625,,
dry_heat,moderate,mid,long,na,,5.0,2.5,50.0,120.0,,
dry_heat,moderate,mid,medium,na,,4.0,2.0,50.0,24.0,,
dry_heat,moderate,mid,na,na,,3.0,1.5,50.0,,,
dry_heat,moderate,mid,short,na,,2.0,1.0,50.0,0.0,,
dry_heat,strong,high,long,na,0.0104347826086956,16.0,8.0,80.0,72.0,,
dry_heat,strong,high,medium,na,0.0121739130434782,18.0,9.0,95.0,13.5,,
dry_heat,strong,high,na,na,,15.0,7.5,80.0,,,
wet_heat,moderate,high,medium,na,0.0078260869565217,7.0,3.5,60.0,24.0,,
HCl,mild,low,medium,high,0.0078260869565217,3.0,1.5,25.0,2.0,1.0,0.5
HCl,mild,low,medium,low,0.0078260869565217,1.0,0.5,25.0,6.0,0.01,2.0
HCl,mild,low,medium,medium,0.0078260869565217,2.0,1.0,25.0,13.0,0.3,1.0
HCl,moderate,high,medium,medium,0.0169565217391303,6.0,3.0,60.0,4.0,0.1,1.2
HCl,moderate,high,short,low,0.0104347826086956,4.0,2.0,60.0,1.0,0.01,2.0
HCl,moderate,mid,medium,low,0.0117391304347825,3.0,1.5,40.0,4.5,0.030000000000000002,1.75
HCl,moderate,mid,medium,medium,0.0156521739130434,5.0,2.5,40.0,6.0,0.1,1.2
HCl,moderate,mid,short,high,0.0104347826086956,7.0,3.5,40.0,1.0,1.0,0.5
HCl,strong,high,short,high,0.0104347826086956,9.0,4.5,60.0,0.5,1.0,0.5
HCl,unknown,high,medium,high,0.0888888888888888,18.0,9.0,110.0,3.0,1.0,
HCl,unknown,high,na,high,,10.0,5.0,60.0,,1.0,
HCl,unknown,high,na,medium,,8.0,4.0,80.0,,0.5,
HCl,unknown,high,short,high,0.0444444444444444,12.0,6.0,60.0,0.625,1.0,
HCl,unknown,mid,na,medium,,6.0,3.0,40.0,,0.1,
HCl,unknown,na,long,high,,15.0,7.5,,203.0,1.5,
HCl,unknown,na,long,medium,,12.0,6.0,,108.0,0.1,
HCl,unknown,na,medium,high,,13.0,6.5,,8.0,2.0,
HCl,unknown,na,medium,medium,,10.0,5.0,,6.5,0.1,
HCl,unknown,na,na,high,,9.0,4.5,,,1.0,
HCl,unknown,na,na,medium,,7.0,3.5,,,0.1,
HCl,unknown,na,short,high,,8.0,4.0,,0.625,1.0,
NaOH,mild,low,medium,high,0.0078260869565217,4.0,2.0,25.0,2.0,1.0,14.0
NaOH,mild,low,medium,low,0.0078260869565217,1.0,0.5,25.0,6.0,0.01,12.0
NaOH,mild,low,medium,medium,0.0078260869565217,3.0,1.5,25.0,13.0,0.3,13.25
NaOH,moderate,high,short,low,0.0104347826086956,5.0,2.5,60.0,1.0,0.01,12.0
NaOH,moderate,mid,medium,low,0.0117391304347825,2.0,1.0,40.0,4.5,0.030000000000000002,12.25
NaOH,moderate,mid,medium,medium,0.0156521739130434,4.0,2.0,40.0,6.0,0.1,13.0
NaOH,moderate,mid,short,high,0.0104347826086956,6.0,3.0,40.0,1.0,1.0,14.0
NaOH,strong,high,medium,medium,0.0130434782608695,12.0,6.0,60.0,2.0,0.1,13.0
NaOH,strong,high,short,high,0.0104347826086956,15.0,7.5,60.0,0.5,1.0,14.0
NaOH,strong,high,short,medium,0.0208695652173913,10.0,5.0,60.0,1.0,0.1,13.0
NaOH,unknown,high,medium,high,0.0888888888888888,25.0,12.5,110.0,3.0,1.0,
NaOH,unknown,high,na,high,,18.0,9.0,60.0,,1.0,
NaOH,unknown,high,na,medium,,15.0,7.5,70.0,,0.3,
NaOH,unknown,high,short,high,0.0444444444444444,20.0,10.0,60.0,0.1666666666666666,1.0,
NaOH,unknown,mid,na,medium,,12.0,6.0,40.0,,0.1,
NaOH,unknown,na,long,high,,22.0,11.0,,120.0,1.5,
NaOH,unknown,na,long,low,,15.0,7.5,,72.0,0.01,
NaOH,unknown,na,long,medium,,18.0,9.0,,70.0,0.5,
NaOH,unknown,na,medium,high,,20.0,10.0,,8.0,2.0,
NaOH,unknown,na,medium,medium,,17.0,8.5,,6.5,0.1,
NaOH,unknown,na,na,high,,19.0,9.5,,,1.0,
NaOH,unknown,na,na,medium,,16.0,8.0,,,0.1,
NaOH,unknown,na,short,high,,18.0,9.0,,0.625,1.0,
RH,standard,low,na,na,,1.0,0.5,17.5,,,
RH,standard,mid,long,na,0.0104347826086956,2.0,1.0,40.0,204.0,,
RH,standard,na,medium,na,,1.0,0.5,,5.0,,
RH,standard,na,na,na,,1.0,0.5,,,,
H2O2,mild,low,medium,medium,0.0091304347826086,3.0,1.0,25.0,4.5,0.4,
H2O2,moderate,high,short,high,0.024830917874396,12.0,6.0,60.0,0.75,3.0,
H2O2,moderate,low,medium,high,0.0130434782608695,8.0,3.0,25.0,3.0,1.0,
H2O2,moderate,low,short,high,0.0182608695652173,10.0,4.0,25.0,0.75,3.0,
H2O2,moderate,mid,medium,high,0.0091304347826086,9.0,4.0,40.0,4.0,2.0,
H2O2,moderate,mid,na,high,,11.0,5.0,40.0,,3.0,
H2O2,moderate,na,medium,high,,10.0,4.0,,8.0,3.0,
H2O2,moderate,na,na,high,,12.0,5.0,,,3.0,
H2O2,strong,high,short,high,0.024830917874396,25.0,12.0,60.0,0.375,20.0,
H2O2,strong,mid,medium,high,0.0078260869565217,20.0,10.0,40.0,2.0,10.0,
H2O2,strong,na,na,high,,22.0,11.0,,,10.0,
light,standard,low,long,na,,5.0,2.0,25.0,240.0,,
light,standard,na,long,na,,6.0,2.0,,204.0,,
light,standard,na,medium,na,,4.0,1.0,,2.0,,
light,standard,na,na,na,,3.0,1.0,,,,
uv_light,standard,na,na,na,0.0208695652173913,5.0,2.0,,,,
visible_light,standard,na,na,na,0.0313043478260869,3.0,1.0,,,,
dry_heat,mild,low,long,na,,2.0,1.0,13.5,144.0,,
dry_heat,mild,low,medium,na,,1.0,0.5,12.5,13.0,,
dry_heat,mild,low,na,na,,1.0,0.5,17.5,,,
dry_heat,mild,low,short,na,,1.0,0.5,25.0,0.2833333333333333,,
dry_heat,mild,mid,long,na,,3.0,1.0,40.0,168.0,,
dry_heat,mild,mid,medium,na,,2.0,1.0,35.0,3.1666666666666665,,
dry_heat,mild,mid,na,na,,1.0,0.5,40.0,,,
dry_heat,moderate,high,long,na,0.0078260869565217,8.0,3.0,65.0,97.95,,
dry_heat,moderate,high,medium,na,,6.0,2.0,60.0,14.5,,
dry_heat,moderate,high,na,na,,5.0,2.0,65.0,,,
dry_heat,moderate,high,short,na,,5.0,2.0,60.0,0.625,,
dry_heat,moderate,mid,long,na,,7.0,3.0,50.0,120.0,,
dry_heat,moderate,mid,medium,na,,5.0,2.0,50.0,24.0,,
dry_heat,moderate,mid,na,na,,4.0,1.0,50.0,,,
dry_heat,moderate,mid,short,na,,3.0,1.0,50.0,0.0,,
dry_heat,strong,high,long,na,0.0104347826086956,15.0,7.0,80.0,72.0,,
dry_heat,strong,high,medium,na,0.0121739130434782,18.0,8.0,95.0,13.5,,
dry_heat,strong,high,na,na,,12.0,5.0,80.0,,,
wet_heat,moderate,high,medium,na,0.0078260869565217,10.0,4.0,60.0,24.0,,
HCl,mild,low,medium,high,0.0078260869565217,3.0,1.0,25.0,2.0,1.0,0.5
HCl,mild,low,medium,low,0.0078260869565217,1.0,0.5,25.0,6.0,0.01,2.0
HCl,mild,low,medium,medium,0.0078260869565217,2.0,1.0,25.0,13.0,0.3,1.0
HCl,moderate,high,medium,medium,0.0169565217391303,7.0,3.0,60.0,4.0,0.1,1.2
HCl,moderate,high,short,low,0.0104347826086956,5.0,2.0,60.0,1.0,0.01,2.0
HCl,moderate,mid,medium,low,0.0117391304347825,4.0,1.0,40.0,4.5,0.030000000000000002,1.75
HCl,moderate,mid,medium,medium,0.0156521739130434,6.0,2.0,40.0,6.0,0.1,1.2
HCl,moderate,mid,short,high,0.0104347826086956,8.0,3.0,40.0,1.0,1.0,0.5
HCl,strong,high,short,high,0.0104347826086956,16.0,7.0,60.0,0.5,1.0,0.5
HCl,unknown,high,medium,high,0.0888888888888888,25.0,12.0,110.0,3.0,1.0,
HCl,unknown,high,na,high,,15.0,7.0,60.0,,1.0,
HCl,unknown,high,na,medium,,18.0,8.0,80.0,,0.5,
HCl,unknown,high,short,high,0.0444444444444444,17.0,8.0,60.0,0.625,1.0,
HCl,unknown,mid,na,medium,,10.0,4.0,40.0,,0.1,
HCl,unknown,na,long,high,,20.0,9.0,,203.0,1.5,
HCl,unknown,na,long,medium,,18.0,8.0,,108.0,0.1,
HCl,unknown,na,medium,high,,22.0,10.0,,8.0,2.0,
HCl,unknown,na,medium,medium,,19.0,9.0,,6.5,0.1,
