name,smiles,stress_type,reagent,severity,temp_bin,duration_bin,strength_bin,temperature_mean,duration_mean,strength_mean,pH_mean,initial_api_percent,initial_degradant_percent,true_api_loss_percent,true_degradant_percent,model_predicted_api_loss_percent,model_predicted_degradant_percent,avg_mass,logP,logS,PSA,HBD,HBA,rot_bonds,rings,pKa_acid,pKa_base,smb_mass_balance,amb_mass_balance,amb_deficiency,rmb_mass_balance,rmb_deficiency
Ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,base_hydrolysis,NaOH,moderate,mid,medium,medium,40.0,6.0,0.1,13.0,100.0,0.0,7.0,3.0,7.52,3.16,546.576,-4.2,-5.0,191.22,3.0,10.0,9.0,4.0,2.42,4.02,95.64,95.64,4.359999999999999,42.02127659574471,57.97872340425529
Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,acid_hydrolysis,HCl,mild,low,medium,low,25.0,6.0,0.01,2.0,100.0,0.0,1.0,0.5,1.87,0.74,321.158,3.53,-4.3,61.69,2.0,3.0,1.0,3.0,10.61,-2.2,98.86999999999999,98.86999999999999,1.1300000000000097,39.57219251336889,60.42780748663111
Loracarbef,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,base_hydrolysis,NaOH,moderate,mid,medium,low,40.0,4.5,0.03,12.25,100.0,0.0,8.0,3.5,5.73,2.4,349.769,-2.4,-3.0,112.73,3.0,5.0,4.0,3.0,2.93,7.23,96.67,96.67,3.3299999999999983,41.88481675392667,58.11518324607333
Allopurinol,OC1=NC=NC2=C1C=NN2,base_hydrolysis,NaOH,strong,high,short,high,60.0,0.5,1.0,14.0,100.0,0.0,12.0,5.0,14.31,6.11,136.1115,0.031,-0.79,74.69,2.0,4.0,0.0,2.0,8.47,1.25,91.8,91.8,8.200000000000003,42.6974143955276,57.3025856044724
Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,acid_hydrolysis,HCl,strong,high,short,high,60.0,0.5,1.0,0.5,100.0,0.0,10.0,4.0,13.91,5.93,416.5106,1.47,-4.0,95.94,2.0,5.0,10.0,3.0,3.75,5.2,92.02000000000001,92.02000000000001,7.97999999999999,42.63120057512582,57.36879942487418
Zanamivir,[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,14.0,4.0,12.73,5.42,332.3098,-5.8,-1.7,200.72,7.0,10.0,6.0,1.0,3.06,11.93,92.69,92.69,7.310000000000002,42.576590730557726,57.423409269442274
Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,3.0,1.0,3.64,1.52,312.4045,1.16,-2.7,90.65,2.0,4.0,8.0,1.0,14.03,9.31,97.88,97.88,2.1200000000000045,41.75824175824175,58.24175824175825
Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,4.0,2.0,2.84,1.11,319.872,3.93,-4.3,28.16,1.0,3.0,8.0,2.0,,10.32,98.27,98.27,1.730000000000004,39.08450704225348,60.91549295774652
Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,base_hydrolysis,NaOH,moderate,mid,short,high,40.0,1.0,1.0,14.0,100.0,0.0,8.5,4.2,9.23,3.91,295.374,1.82,-3.3,67.79,2.0,4.0,10.0,1.0,14.09,9.67,94.67999999999999,94.67999999999999,5.320000000000007,42.36186348862404,57.63813651137596
alpha-Linolenic acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,acid_hydrolysis,HCl,mild,low,medium,medium,25.0,13.0,0.3,1.0,100.0,0.0,2.5,0.9,2.74,1.12,278.4296,6.06,-6.0,37.3,1.0,2.0,13.0,0.0,4.99,,98.38000000000001,98.38000000000001,1.6199999999999903,40.8759124087592,59.1240875912408
Fosinopril,CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,10.0,4.0,11.8,5.02,563.672,5.62,-5.8,110.21,1.0,5.0,15.0,3.0,3.87,-4.4,93.22,93.22,6.780000000000001,42.54237288135594,57.45762711864406
Fondaparinux,CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O,acid_hydrolysis,HCl,moderate,high,medium,medium,60.0,4.0,0.1,1.2,100.0,0.0,7.0,2.5,7.45,3.14,1508.263,-10.0,-2.3,805.48,19.0,44.0,27.0,5.0,-3.0,,95.69,95.69,4.310000000000002,42.14765100671139,57.85234899328861
Dydrogesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,10.0,4.0,11.29,4.8,312.4458,3.79,-4.8,34.14,0.0,2.0,1.0,4.0,19.4,-4.8,93.51,93.51,6.489999999999995,42.51550044286982,57.48449955713018
Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,4.0,1.5,3.62,1.5,421.415,1.7,-3.3,118.36,3.0,5.0,4.0,3.0,9.04,-3.1,97.88,97.88,2.1200000000000045,41.43646408839774,58.56353591160226
Levocarnitine,C[N+](C)(C)C[C@H](O)CC([O-])=O,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,10.0,4.0,9.85,4.15,161.1989,-4.9,-1.6,60.36,1.0,3.0,4.0,0.0,4.2,-3.6,94.30000000000001,94.30000000000001,5.699999999999989,42.1319796954315,57.8680203045685
Zafirlukast,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,15.0,7.5,12.18,5.18,575.675,6.4,-5.8,115.73,2.0,6.0,8.0,5.0,4.29,-1.1,93.0,93.0,7.0,42.52873563218388,57.47126436781612
Duloxetine,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,12.0,3.5,10.4,4.39,297.415,4.2,-5.0,21.26,1.0,2.0,6.0,3.0,,9.7,93.99,93.99,6.010000000000005,42.21153846153843,57.78846153846157
Fondaparinux,CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O,base_hydrolysis,NaOH,moderate,mid,short,high,40.0,1.0,1.0,14.0,100.0,0.0,12.0,5.0,9.48,4.01,1508.263,-10.0,-2.3,805.48,19.0,44.0,27.0,5.0,-3.0,,94.53,94.53,5.469999999999999,42.299578059071706,57.700421940928294
Nitric Oxide,[N]=O,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,15.0,7.0,3.83,1.61,30.0061,-0.35,,34.14,0.0,1.0,0.0,0.0,,-2.9,97.78,97.78,2.219999999999999,42.0365535248042,57.9634464751958
Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,base_hydrolysis,NaOH,mild,low,medium,medium,25.0,13.0,0.3,13.25,100.0,0.0,3.0,1.0,3.4,1.42,780.9385,2.37,-3.8,203.06,6.0,13.0,7.0,8.0,7.15,-3.0,98.02,98.02,1.980000000000004,41.76470588235287,58.23529411764713
Sulfadiazine,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,base_hydrolysis,NaOH,strong,high,medium,medium,60.0,2.0,0.1,13.0,100.0,0.0,12.0,4.0,11.79,5.01,250.277,0.39,-2.6,97.97,2.0,5.0,2.0,2.0,6.99,2.01,93.22000000000001,93.22000000000001,6.779999999999987,42.49363867684481,57.50636132315519
Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,base_hydrolysis,NaOH,strong,high,short,high,60.0,0.5,1.0,14.0,100.0,0.0,12.0,6.0,16.3,6.97,267.2413,-2.1,-1.3,139.54,4.0,8.0,2.0,3.0,12.45,3.94,90.67,90.67,9.329999999999998,42.76073619631903,57.23926380368097
Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,base_hydrolysis,NaOH,mild,low,medium,high,25.0,2.0,1.0,14.0,100.0,0.0,2.0,0.8,2.93,1.11,430.7061,10.51,-7.8,29.46,1.0,2.0,12.0,2.0,10.8,-4.9,98.17999999999999,98.17999999999999,1.8200000000000074,37.88395904436852,62.11604095563148
Pyrazinamide,NC(=O)C1=NC=CN=C1,base_hydrolysis,NaOH,mild,low,medium,high,25.0,2.0,1.0,14.0,100.0,0.0,4.0,1.5,4.68,1.95,123.1127,-1.2,-0.12,68.87,1.0,3.0,1.0,1.0,13.06,-0.55,97.27,97.27,2.730000000000004,41.66666666666661,58.33333333333339
Pimecrolimus,[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,6.0,1.5,5.22,2.18,810.46,6.81,-5.7,158.13,2.0,10.0,6.0,4.0,9.96,-2.9,96.96000000000001,96.96000000000001,3.039999999999992,41.76245210727971,58.23754789272029
Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,6.0,3.0,6.18,2.6,312.4045,1.16,-2.7,90.65,2.0,4.0,8.0,1.0,14.03,9.31,96.41999999999999,96.41999999999999,3.5800000000000125,42.07119741100319,57.92880258899681
Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,base_hydrolysis,NaOH,moderate,mid,medium,medium,40.0,6.0,0.1,13.0,100.0,0.0,8.0,4.0,7.3,3.07,287.3981,4.38,-4.3,3.24,0.0,1.0,0.0,4.0,,8.05,95.77,95.77,4.230000000000004,42.05479452054796,57.94520547945204
Lercanidipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1,base_hydrolysis,NaOH,strong,high,short,high,60.0,0.5,1.0,14.0,100.0,0.0,14.0,4.5,16.38,7.01,611.7272,6.41,-6.6,111.01,1.0,6.0,14.0,4.0,16.96,9.36,90.63000000000001,90.63000000000001,9.36999999999999,42.79609279609281,57.20390720390719
Beclomethasone dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,acid_hydrolysis,HCl,moderate,mid,medium,low,40.0,4.5,0.03,1.75,100.0,0.0,6.0,3.0,5.05,2.1,521.042,4.43,-5.4,106.97,1.0,5.0,8.0,4.0,13.85,-3.3,97.05,97.05,2.950000000000003,41.58415841584161,58.41584158415839
Nicotine,CN1CCC[C@H]1C1=CN=CC=C1,base_hydrolysis,NaOH,moderate,high,short,low,60.0,1.0,0.01,12.0,100.0,0.0,5.0,2.5,5.63,2.34,162.2316,1.16,-0.24,16.13,0.0,2.0,1.0,2.0,,8.58,96.71000000000001,96.71000000000001,3.289999999999992,41.563055062166995,58.436944937833005
Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,base_hydrolysis,NaOH,mild,low,medium,high,25.0,2.0,1.0,14.0,100.0,0.0,4.0,2.0,4.49,1.86,287.3981,4.38,-4.3,3.24,0.0,1.0,0.0,4.0,,8.05,97.37,97.37,2.6299999999999955,41.42538975501118,58.57461024498882
L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,5.0,2.0,5.46,2.3,146.1445,-4.0,-0.17,106.41,3.0,4.0,4.0,0.0,2.15,9.31,96.84,96.84,3.1599999999999966,42.12454212454217,57.87545787545783
Darifenacin,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,acid_hydrolysis,HCl,moderate,mid,short,high,40.0,1.0,1.0,0.5,100.0,0.0,7.0,3.0,8.27,3.49,426.55,4.54,-6.2,55.56,1.0,3.0,7.0,5.0,16.21,10.11,95.22,95.22,4.780000000000001,42.20072551390571,57.79927448609429
Nitric Oxide,[N]=O,acid_hydrolysis,HCl,moderate,mid,short,high,40.0,1.0,1.0,0.5,100.0,0.0,13.0,6.5,8.93,3.77,30.0061,-0.35,,34.14,0.0,1.0,0.0,0.0,,-2.9,94.83999999999999,94.83999999999999,5.160000000000011,42.21724524076145,57.78275475923855
Reboxetine,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,base_hydrolysis,NaOH,mild,low,medium,low,25.0,6.0,0.01,12.0,100.0,0.0,2.0,1.0,2.11,0.88,313.397,3.28,-4.2,39.72,1.0,4.0,6.0,3.0,,7.91,98.77,98.77,1.230000000000004,41.706161137440766,58.293838862559234
Sucralfate,O.O[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,acid_hydrolysis,HCl,mild,low,medium,high,25.0,2.0,1.0,0.5,100.0,0.0,5.0,2.0,3.75,1.57,1558.67,-5.9,-3.3,772.17,16.0,35.0,37.0,2.0,13.53,-3.0,97.82,97.82,2.180000000000007,41.86666666666667,58.13333333333333
Dydrogesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,12.0,5.0,11.55,4.91,312.4458,3.79,-4.8,34.14,0.0,2.0,1.0,4.0,19.4,-4.8,93.36,93.36,6.640000000000001,42.51082251082252,57.48917748917748
Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,acid_hydrolysis,HCl,mild,low,medium,low,25.0,6.0,0.01,2.0,100.0,0.0,2.0,1.0,1.5,0.56,392.518,-0.5,-6.8,46.53,1.0,2.0,5.0,5.0,11.05,-4.5,99.06,99.06,0.9399999999999977,37.333333333333336,62.666666666666664
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,base_hydrolysis,NaOH,moderate,mid,short,high,40.0,1.0,1.0,14.0,100.0,0.0,9.0,3.5,9.46,4.01,268.2691,-2.7,-1.4,98.82,2.0,6.0,3.0,2.0,11.2,3.2,94.55,94.55,5.450000000000003,42.38900634249468,57.61099365750532
Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,acid_hydrolysis,HCl,moderate,mid,medium,medium,40.0,6.0,0.1,1.2,100.0,0.0,5.0,2.0,6.9,2.91,267.2413,-2.1,-1.3,139.54,4.0,8.0,2.0,3.0,12.45,3.94,96.00999999999999,96.00999999999999,3.990000000000009,42.17391304347823,57.82608695652177
Thiethylperazine,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,base_hydrolysis,NaOH,moderate,mid,short,high,40.0,1.0,1.0,14.0,100.0,0.0,7.0,2.5,7.72,3.21,399.616,4.66,-4.9,9.72,0.0,3.0,6.0,4.0,,8.0,95.49,95.49,4.510000000000005,41.58031088082902,58.41968911917098
Leucine,CC(C)C[C@H](N)C(O)=O,base_hydrolysis,NaOH,mild,low,medium,high,25.0,2.0,1.0,14.0,100.0,0.0,3.0,1.0,4.48,1.86,131.1729,-1.6,-0.27,63.32,2.0,3.0,3.0,0.0,2.79,9.52,97.38,97.38,2.6200000000000045,41.5178571428571,58.4821428571429
Loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,acid_hydrolysis,HCl,moderate,mid,short,high,40.0,1.0,1.0,0.5,100.0,0.0,9.0,3.0,8.26,3.48,382.883,4.55,-4.5,42.43,0.0,2.0,2.0,4.0,,4.33,95.22,95.22,4.780000000000001,42.13075060532685,57.86924939467315
Mephenytoin,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,base_hydrolysis,NaOH,strong,high,short,medium,60.0,1.0,0.1,13.0,100.0,0.0,12.0,5.0,12.4,5.28,218.2518,1.67,-2.4,49.41,1.0,2.0,2.0,2.0,11.09,-8.1,92.88,92.88,7.1200000000000045,42.580645161290306,57.419354838709694
Digoxin,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1,acid_hydrolysis,HCl,moderate,high,short,low,60.0,1.0,0.01,2.0,100.0,0.0,5.0,2.0,5.25,2.2,780.9385,2.37,-3.8,203.06,6.0,13.0,7.0,8.0,7.15,-3.0,96.95,96.95,3.049999999999997,41.904761904761905,58.095238095238095
